approve,disapprove,spread,date,candidate
43.0,53.0,-10.0,2021-12-26,President Biden
44.0,53.0,-9.0,2021-12-21,President Biden
44.0,52.0,-8.0,2021-12-20,President Biden
44.0,50.0,-6.0,2021-12-19,President Biden
44.0,50.0,-6.0,2021-12-18,President Biden
44.0,50.0,-6.0,2021-12-17,President Biden
44.0,50.0,-6.0,2021-12-16,President Biden
43.0,50.0,-8.0,2021-12-15,President Biden
43.0,50.0,-8.0,2021-12-14,President Biden
43.0,50.0,-7.0,2021-12-13,President Biden
42.0,52.0,-10.0,2021-12-10,President Biden
42.0,52.0,-10.0,2021-12-08,President Biden
43.0,52.0,-9.0,2021-12-07,President Biden
42.0,51.0,-9.0,2021-12-06,President Biden
42.0,52.0,-10.0,2021-12-05,President Biden
42.0,52.0,-10.0,2021-12-04,President Biden
42.0,52.0,-10.0,2021-12-03,President Biden
42.0,52.0,-10.0,2021-12-02,President Biden
42.0,52.0,-10.0,2021-12-01,President Biden
42.0,52.0,-11.0,2021-11-30,President Biden
42.0,52.0,-11.0,2021-11-29,President Biden
42.0,52.0,-11.0,2021-11-28,President Biden
42.0,53.0,-12.0,2021-11-27,President Biden
42.0,53.0,-12.0,2021-11-25,President Biden
42.0,53.0,-12.0,2021-11-24,President Biden
41.0,53.0,-12.0,2021-11-22,President Biden
41.0,53.0,-12.0,2021-11-21,President Biden
41.0,53.0,-12.0,2021-11-20,President Biden
41.0,53.0,-12.0,2021-11-19,President Biden
41.0,53.0,-12.0,2021-11-18,President Biden
42.0,53.0,-12.0,2021-11-17,President Biden
42.0,53.0,-11.0,2021-11-16,President Biden
42.0,53.0,-11.0,2021-11-14,President Biden
42.0,52.0,-10.0,2021-11-13,President Biden
42.0,52.0,-10.0,2021-11-12,President Biden
42.0,52.0,-10.0,2021-11-11,President Biden
43.0,52.0,-9.0,2021-11-10,President Biden
43.0,52.0,-9.0,2021-11-09,President Biden
43.0,52.0,-9.0,2021-11-08,President Biden
43.0,51.0,-8.0,2021-11-07,President Biden
43.0,51.0,-8.0,2021-11-06,President Biden
43.0,51.0,-8.0,2021-11-05,President Biden
43.0,51.0,-8.0,2021-11-03,President Biden
43.0,51.0,-8.0,2021-11-02,President Biden
43.0,51.0,-8.0,2021-11-01,President Biden
43.0,52.0,-9.0,2021-10-31,President Biden
42.0,52.0,-10.0,2021-10-29,President Biden
42.0,52.0,-10.0,2021-10-28,President Biden
42.0,52.0,-10.0,2021-10-27,President Biden
42.0,52.0,-10.0,2021-10-26,President Biden
42.0,52.0,-10.0,2021-10-25,President Biden
42.0,52.0,-10.0,2021-10-23,President Biden
43.0,51.0,-9.0,2021-10-22,President Biden
43.0,51.0,-8.0,2021-10-21,President Biden
43.0,51.0,-8.0,2021-10-20,President Biden
44.0,52.0,-8.0,2021-10-19,President Biden
44.0,52.0,-8.0,2021-10-18,President Biden
44.0,52.0,-8.0,2021-10-17,President Biden
44.0,52.0,-8.0,2021-10-16,President Biden
44.0,52.0,-8.0,2021-10-15,President Biden
44.0,52.0,-8.0,2021-10-14,President Biden
44.0,52.0,-8.0,2021-10-13,President Biden
43.0,52.0,-9.0,2021-10-12,President Biden
43.0,52.0,-10.0,2021-10-11,President Biden
43.0,52.0,-9.0,2021-10-10,President Biden
43.0,50.0,-7.0,2021-10-08,President Biden
44.0,49.0,-5.0,2021-10-07,President Biden
45.0,49.0,-4.0,2021-10-06,President Biden
45.0,48.0,-3.0,2021-10-04,President Biden
45.0,49.0,-4.0,2021-10-01,President Biden
45.0,49.0,-4.0,2021-09-30,President Biden
45.0,50.0,-5.0,2021-09-29,President Biden
45.0,51.0,-5.0,2021-09-27,President Biden
46.0,50.0,-5.0,2021-09-26,President Biden
46.0,50.0,-5.0,2021-09-25,President Biden
46.0,50.0,-5.0,2021-09-24,President Biden
46.0,50.0,-4.0,2021-09-23,President Biden
46.0,50.0,-4.0,2021-09-22,President Biden
46.0,50.0,-4.0,2021-09-21,President Biden
46.0,50.0,-4.0,2021-09-20,President Biden
45.0,50.0,-4.0,2021-09-17,President Biden
45.0,50.0,-4.0,2021-09-16,President Biden
45.0,50.0,-5.0,2021-09-15,President Biden
45.0,50.0,-5.0,2021-09-14,President Biden
45.0,50.0,-5.0,2021-09-13,President Biden
45.0,50.0,-4.0,2021-09-12,President Biden
45.0,49.0,-4.0,2021-09-11,President Biden
45.0,49.0,-4.0,2021-09-10,President Biden
45.0,49.0,-4.0,2021-09-09,President Biden
45.0,50.0,-4.0,2021-09-08,President Biden
46.0,49.0,-3.0,2021-09-07,President Biden
46.0,49.0,-4.0,2021-09-06,President Biden
45.0,49.0,-4.0,2021-09-05,President Biden
45.0,49.0,-4.0,2021-09-04,President Biden
45.0,49.0,-4.0,2021-09-03,President Biden
45.0,49.0,-4.0,2021-09-02,President Biden
46.0,49.0,-3.0,2021-09-01,President Biden
47.0,49.0,-2.0,2021-08-31,President Biden
47.0,49.0,-1.0,2021-08-30,President Biden
47.0,48.0,-1.0,2021-08-28,President Biden
47.0,48.0,-1.0,2021-08-27,President Biden
47.0,49.0,-2.0,2021-08-26,President Biden
47.0,49.0,-2.0,2021-08-25,President Biden
47.0,49.0,-2.0,2021-08-24,President Biden
48.0,47.0,1.0,2021-08-23,President Biden
48.0,48.0,0.0,2021-08-22,President Biden
49.0,48.0,0.0,2021-08-20,President Biden
50.0,47.0,3.0,2021-08-19,President Biden
50.0,47.0,2.0,2021-08-18,President Biden
50.0,46.0,4.0,2021-08-17,President Biden
50.0,46.0,4.0,2021-08-16,President Biden
50.0,46.0,4.0,2021-08-13,President Biden
50.0,46.0,4.0,2021-08-11,President Biden
50.0,44.0,7.0,2021-08-10,President Biden
50.0,44.0,7.0,2021-08-09,President Biden
50.0,44.0,6.0,2021-08-08,President Biden
50.0,44.0,6.0,2021-08-07,President Biden
51.0,44.0,7.0,2021-08-06,President Biden
51.0,44.0,7.0,2021-08-05,President Biden
51.0,44.0,7.0,2021-08-04,President Biden
52.0,43.0,8.0,2021-08-03,President Biden
51.0,45.0,6.0,2021-07-31,President Biden
51.0,45.0,7.0,2021-07-30,President Biden
51.0,45.0,7.0,2021-07-29,President Biden
52.0,44.0,8.0,2021-07-27,President Biden
