approve,disapprove,spread,date,candidate
52.0,44.0,9.0,2021-07-24,President Biden
52.0,42.0,10.0,2021-07-23,President Biden
52.0,43.0,9.0,2021-07-20,President Biden
52.0,43.0,9.0,2021-07-16,President Biden
52.0,43.0,9.0,2021-07-14,President Biden
52.0,43.0,9.0,2021-07-13,President Biden
53.0,43.0,10.0,2021-07-10,President Biden
52.0,43.0,10.0,2021-07-09,President Biden
52.0,43.0,10.0,2021-07-07,President Biden
51.0,44.0,7.0,2021-07-06,President Biden
51.0,44.0,7.0,2021-07-05,President Biden
51.0,44.0,7.0,2021-07-04,President Biden
52.0,44.0,7.0,2021-07-02,President Biden
53.0,43.0,10.0,2021-07-01,President Biden
53.0,43.0,10.0,2021-06-28,President Biden
53.0,43.0,10.0,2021-06-27,President Biden
53.0,43.0,10.0,2021-06-25,President Biden
53.0,43.0,10.0,2021-06-24,President Biden
52.0,43.0,9.0,2021-06-23,President Biden
52.0,43.0,9.0,2021-06-21,President Biden
52.0,44.0,9.0,2021-06-18,President Biden
54.0,41.0,13.0,2021-06-11,President Biden
53.0,41.0,11.0,2021-06-08,President Biden
53.0,41.0,12.0,2021-06-07,President Biden
53.0,41.0,12.0,2021-06-05,President Biden
53.0,41.0,12.0,2021-06-04,President Biden
53.0,42.0,11.0,2021-06-03,President Biden
54.0,42.0,12.0,2021-06-01,President Biden
54.0,42.0,12.0,2021-05-31,President Biden
54.0,42.0,11.0,2021-05-22,President Biden
54.0,42.0,11.0,2021-05-21,President Biden
53.0,43.0,11.0,2021-05-20,President Biden
54.0,43.0,11.0,2021-05-19,President Biden
54.0,42.0,12.0,2021-05-15,President Biden
54.0,42.0,13.0,2021-05-14,President Biden
54.0,42.0,12.0,2021-05-13,President Biden
54.0,42.0,12.0,2021-05-11,President Biden
54.0,42.0,12.0,2021-05-11,President Biden
54.0,42.0,12.0,2021-05-07,President Biden
54.0,42.0,12.0,2021-05-06,President Biden
54.0,42.0,12.0,2021-05-04,President Biden
53.0,42.0,11.0,2021-04-30,President Biden
53.0,42.0,11.0,2021-04-29,President Biden
53.0,42.0,11.0,2021-04-29,President Biden
53.0,42.0,11.0,2021-04-28,President Biden
53.0,42.0,11.0,2021-04-27,President Biden
53.0,42.0,12.0,2021-04-26,President Biden
53.0,42.0,12.0,2021-04-25,President Biden
53.0,41.0,11.0,2021-04-21,President Biden
53.0,41.0,11.0,2021-04-17,President Biden
56.0,40.0,15.0,2021-04-08,President Biden
55.0,41.0,14.0,2021-04-06,President Biden
54.0,42.0,12.0,2021-04-04,President Biden
54.0,42.0,12.0,2021-04-01,President Biden
53.0,43.0,10.0,2021-03-27,President Biden
53.0,43.0,10.0,2021-03-26,President Biden
54.0,41.0,12.0,2021-03-23,President Biden
54.0,42.0,12.0,2021-03-18,President Biden
53.0,42.0,11.0,2021-03-17,President Biden
53.0,42.0,11.0,2021-03-14,President Biden
53.0,42.0,11.0,2021-03-13,President Biden
53.0,40.0,13.0,2021-03-12,President Biden
54.0,40.0,14.0,2021-03-11,President Biden
55.0,40.0,15.0,2021-03-10,President Biden
55.0,40.0,15.0,2021-03-09,President Biden
54.0,40.0,14.0,2021-03-08,President Biden
55.0,40.0,15.0,2021-03-06,President Biden
55.0,40.0,16.0,2021-03-03,President Biden
54.0,39.0,16.0,2021-03-02,President Biden
54.0,40.0,14.0,2021-02-26,President Biden
54.0,40.0,14.0,2021-02-26,President Biden
54.0,40.0,14.0,2021-02-24,President Biden
55.0,40.0,15.0,2021-02-23,President Biden
54.0,39.0,15.0,2021-02-20,President Biden
54.0,39.0,15.0,2021-02-19,President Biden
56.0,39.0,16.0,2021-02-17,President Biden
54.0,37.0,18.0,2021-02-14,President Biden
54.0,37.0,18.0,2021-02-14,President Biden
54.0,37.0,17.0,2021-02-11,President Biden
54.0,36.0,18.0,2021-02-10,President Biden
54.0,37.0,17.0,2021-02-08,President Biden
54.0,37.0,17.0,2021-02-06,President Biden
55.0,36.0,18.0,2021-02-05,President Biden
54.0,36.0,18.0,2021-02-04,President Biden
54.0,36.0,18.0,2021-02-03,President Biden
55.0,36.0,19.0,2021-02-01,President Biden
56.0,36.0,20.0,2021-01-30,President Biden
56.0,36.0,20.0,2021-01-29,President Biden
55.0,37.0,18.0,2021-01-27,President Biden
